rpm,rps,reynolds_number,schmidt_number,sherwood_number,mass_transfer_coefficient_m_s,dissolution_time_s,calculated_mass_rate_kg_s,impeller_power_w,motor_power_w,energy_j
10.0,0.16666666666666666,231762.4649859945,535.5535553555357,3127.6093772760505,0.006880740630007311,1.870339091942274,27216.455144044598,8.033179572148153,24.09953871644446,45.074309359142404
11.0,0.18333333333333332,254938.71148459392,535.5535553555357,3280.2643885070593,0.00721658165471553,1.7832983533705304,28544.85897090001,10.692162010529193,32.07648603158758,57.201944722042946
12.0,0.2,278114.95798319345,535.5535553555357,3426.124413997557,0.007537473710794624,1.7073781847341871,29814.132835441487,13.881334300672016,41.64400290201605,71.10206207990939
13.0,0.21666666666666667,301291.20448179287,535.5535553555357,3566.0233512797713,0.007845251372815495,1.6403958994113985,31031.53331355267,17.6488955200095,52.946686560028496,86.85352752049135
14.0,0.23333333333333334,324467.45098039234,535.5535553555357,3700.637321267125,0.008141402106787675,1.5807250413400826,32202.94400906397,22.04304474597454,66.12913423792362,104.5319784520257
15.0,0.25,347643.69747899176,535.5535553555357,3830.5235445350845,0.008427151797977185,1.5271254737463342,33333.21385512786,27.111981056000026,81.33594316800009,124.21019074303705
16.0,0.26666666666666666,370819.9439775912,535.5535553555357,3956.1477053972767,0.008703524951874007,1.4786328818471663,34426.395236394805,32.90390352751885,98.71171058255655,145.95838109074901
17.0,0.2833333333333333,393996.19047619065,535.5535553555357,4077.9037149744768,0.008971388172943849,1.434484600792307,35485.91596722911,39.46701123796389,118.40103371389166,169.84445958046837
18.0,0.3,417172.43697479006,535.5535553555357,4196.128304793021,0.009231482270544647,1.394068450186051,36514.70628519454,46.84950326476804,140.54850979430412,195.93424322490455
19.0,0.31666666666666665,440348.68347338954,535.5535553555357,4311.112013386762,0.009484446429450875,1.3568865908564454,37515.294456458745,55.099578685364186,165.29873605609257,224.29163844003082
20.0,0.3333333333333333,463524.929971989,535.5535553555357,4423.10759914906,0.009730836718127932,1.3225294550306717,38489.87998442686,64.26543657718523,192.79630973155568,254.9787984411989
21.0,0.35,486701.17647058837,535.5535553555357,4532.336580102218,0.009971140476224879,1.2906565916410164,39440.390518811575,74.39527601766405,223.18582805299212,288.05626013745274
22.0,0.36666666666666664,509877.42296918784,535.5535553555357,4638.994386396171,0.010205787650071576,1.260982358547106,40368.52669267411,85.53729608423355,256.6118882527006,323.58306408011686
23.0,0.38333333333333336,533053.6694677874,535.5535553555357,4743.254469106385,0.010435159832034045,1.233265075855543,41275.797877181256,97.73969585432663,293.2190875629799,361.6168602656515
24.0,0.4,556229.9159663869,535.5535553555357,4845.271612652918,0.010659597547836418,1.2072986924755216,42163.55100627437,111.05067440537613,333.1520232161284,402.2140020244064
25.0,0.4166666666666667,579406.1624649862,535.5535553555357,4945.184631746595,0.01087940618984251,1.182906305477733,43032.99404549351,125.51843081481496,376.5552924444449,445.4296297935456
