rpm,rps,reynolds_number,schmidt_number,sherwood_number,mass_transfer_coefficient_m_s,dissolution_time_s,calculated_mass_rate_kg_s,impeller_power_w,motor_power_w,energy_j
48.0,0.8,1112459.8319327738,535.5535553555357,6852.248827995114,0.030149894843178496,0.2134222730917734,238513.0626835319,888.405395243009,2665.216185729027,568.8164966392751
49.0,0.8166666666666667,1135636.078431373,535.5535553555357,6923.258484445234,0.03046233733155903,0.21123326883530943,240984.76665476366,945.0955434836583,2835.286630450975,598.9068630352094
50.0,0.8333333333333334,1158812.3249299724,535.5535553555357,6993.547174655035,0.030771607568482153,0.20911026752790765,243431.37523463025,1004.1474465185197,3012.442339555559,629.932623536859
51.0,0.85,1181988.5714285718,535.5535553555357,7063.136422709668,0.031077800259922538,0.20705001760395284,245853.637633442,1065.6093034250248,3196.8279102750744,661.9032750992619
52.0,0.8666666666666667,1205164.8179271715,535.5535553555357,7132.046702559543,0.03138100549126198,0.20504948742642481,248252.26650842137,1129.529313280608,3388.5879398418238,694.8282201639308
53.0,0.8833333333333333,1228341.064425771,535.5535553555357,7200.297508379286,0.03168130903686886,0.20310584652360197,250627.9404127576,1195.9556751627008,3587.8670254881026,728.7167694258789
54.0,0.9,1251517.3109243703,535.5535553555357,7267.9074189793755,0.03197879264350925,0.20121644874592023,252981.30603764625,1264.9365881487374,3794.8097644462123,763.578144468209
55.0,0.9166666666666666,1274693.5574229697,535.5535553555357,7334.8941568735645,0.03227353429024368,0.19937881711499736,255312.98026830849,1336.5202513161494,4009.560753948448,799.4214802729585
56.0,0.9333333333333333,1297869.8039215694,535.5535553555357,7401.27464253425,0.0325656084271507,0.19759063016751033,257623.55207251175,1410.7548637423706,4232.264591227112,836.2558276162056
57.0,0.95,1321046.0504201686,535.5535553555357,7467.065044306429,0.032855086194948285,0.19584970962269055,259913.5842379744,1487.6886245048333,4463.0658735145,874.0901553547545
58.0,0.9666666666666667,1344222.296918768,535.5535553555357,7532.280824397447,0.03314203562734876,0.19415400922444304,262183.6149731769,1567.3697326809709,4702.109198042913,912.9333526111621
59.0,0.9833333333333333,1367398.5434173674,535.5535553555357,7596.936781313108,0.033426521837777674,0.19250160462811983,264434.159384478,1649.8463873482158,4949.539162044647,952.7942308633142
60.0,1.0,1390574.789915967,535.5535553555357,7661.047089070169,0.03370860719190874,0.19089068421829178,266665.7108410229,1735.1667875840017,5205.5003627520055,993.6815259442964
61.0,1.0166666666666666,1413751.0364145662,535.5535553555357,7724.625333479482,0.03398835146730972,0.18931954075789761,268878.7422376869,1823.3791324657602,5470.13739739728,1035.6038999578543
62.0,1.0333333333333334,1436927.282913166,535.5535553555357,7787.684545762979,0.0342658120013571,0.18778656378124778,271073.7071652154,1914.5316210709263,5743.594863212779,1078.5699431143537
63.0,1.05,1460103.5294117655,535.5535553555357,7850.237233740011,0.03454104382845605,0.18629023265382638,273251.04099575797,2008.67245247693,6026.01735743079,1122.588175491778
